symbol,Market Capitalization (in Crores),,,
MONTECARLO,1235.36,,,
MOREPENLAB,1709.34,,,
MOTHERSON,76636.42,,,
MOTILALOFS,16754.33,,,
MOTISONS,,,,
MPHASIS,16855.35,,,
MPSLTD,1068.52,,,
MRF,29760.55,,,
MRPL,20715.72,,,
MSPL,209.24,,,
MSTCLTD,,,,
MSUMI,,,,
MTARTECH,,,,
MTNL,1445.85,,,
MUFIN,,,,
MUFTI,,,,
MUKANDLTD,1119.23,,,
MUKKA,,,,
MUNJALAU,798.00,,,
MUNJALSHOW,943.48,,,
MUTHOOTCAP,1272.30,,,
MUTHOOTFIN,17224.29,,,
MUTHOOTMF,,,,
MVGJL,,,,
NACLIND,746.37,,,
NAGAFERT,1223.04,,,
NAHARCAP,274.80,,,
NAHARINDUS,374.25,,,
NAHARPOLY,172.12,,,
NAHARSPING,417.64,,,
NATCOPHARM,15305.57,,,
NATIONALUM,13849.44,,,
NAUKRI,15074.20,,,
NAVA,2449.29,,,
NAVINFLUOR,3988.72,,,
NAVKARCORP,2579.15,,,
NAVNETEDUL,3239.45,,,
NAZARA,,,,
NBCC,18765.00,,,
NBIFIN,359.53,,,
NCC,6829.35,,,
NCLIND,1162.26,,,
NDL,677.97,,,
NDRAUTO,,,,
NDTV,290.12,,,
NECLIFE,725.48,,,
NELCAST,734.29,,,
NELCO,299.59,,,
NEOGEN,,,,
NESCO,4192.37,,,
NESTLEIND,67406.16,,,
NETWEB,,,,
NETWORK18,5318.50,,,
NEULANDLAB,623.36,,,
NEWGEN,1647.12,,,
NFL,3201.02,,,
NGLFINE,252.50,,,
NH,6099.94,,,
NHPC,29444.25,,,
NIACL,56979.60,,,
NIITLTD,1640.08,,,
NIITMTS,,,,
NILKAMAL,2615.92,,,
NINSYS,,,,
NITCO,658.03,,,
NITINSPIN,625.09,,,
NLCINDIA,15690.75,,,
NMDC,42253.76,,,
NOCIL,3221.88,,,
NOVAAGRI,,,,
NRAIL,797.26,,,
NRBBEARING,1553.18,,,
NRL,,,,
NSIL,615.83,,,
NSLNISP,,,,
NTPC,134978.25,,,
NUCLEUS,1209.40,,,
NUVAMA,,,,
NUVOCO,,,,
NYKAA,,,,
OAL,1239.90,,,
OBEROIRLTY,16170.16,,,
OFSS,35040.31,,,
OIL,27396.58,,,
OLECTRA,997.09,,,
OMAXE,4190.25,,,
OMINFRAL,558.56,,,
ONEPOINT,139.42,,,
ONGC,242163.15,,,
ONMOBILE,537.53,,,
ONWARDTEC,162.73,,,
OPTIEMUS,2350.88,,,
ORCHPHARMA,,,,
ORICONENT,971.34,,,
ORIENTBELL,432.34,,,
ORIENTCEM,3211.32,,,
ORIENTCER,558.72,,,
ORIENTELEC,,,,
ORIENTHOT,939.43,,,
ORIENTPPR,873.14,,,
ORISSAMINE,1063.32,,,
OSWALAGRO,183.23,,,
OSWALGREEN,829.49,,,
PAGEIND,23091.59,,,
PAISALO,977.70,,,
PAKKA,237.96,,,
PANACEABIO,1776.27,,,
PANAMAPET,1213.80,,,
PARACABLES,253.51,,,
PARADEEP,,,,
PARAGMILK,2443.53,,,
PARAS,,,,
PARKHOTELS,,,,
PARSVNATH,937.82,,,
PATANJALI,,,,
PATELENG,1141.35,,,
PAVNAIND,,,,
PAYTM,,,,
PCBL,3615.48,,,
PCJEWELLER,15070.28,,,
PDMJEPAPER,283.90,,,
PDSL,757.31,,,
PEL,46771.15,,,
PENIND,716.68,,,
PENINLAND,812.48,,,
PERSISTENT,6352.80,,,
PETRONET,37335.00,,,
PFC,29080.50,,,
PFIZER,10375.36,,,
PFOCUS,3073.38,,,
PFS,2164.49,,,
PGEL,553.33,,,
PGHH,30135.09,,,
