Stock Symbol,Indices,,,
IPL,COMDTY,,,
IRB,INDSTR,,,
IRCON,INDSTR,,,
IRCTC,CDGS,,,
IREDA,FIN,,,
IRFC,FIN,,,
IRISDOREME,"CDGS, REALTY, BSE CG, INDSTR",,,
IRMENERGY,ENERGY,,,
ISEC,FIN,,,
ISGEC,INDSTR,,,
ISMTLTD,"METAL, COMDTY, INDSTR, CDGS",,,
ITC,BSEFMC,,,
ITDC,CDGS,,,
ITDCEM,INDSTR,,,
ITI,TELCOM,,,
IWEL,INDSTR,,,
IXIGO,CDGS,,,
IZMO,"BSE IT, TECK, CDGS, FIN",,,
J&KBANK,FIN,,,
JAGRAN,"CDGS, TECK",,,
JAGSNPHARM,BSE HC,,,
JAIBALAJI,COMDTY,,,
JAICORPLTD,INDSTR,,,
JAMNAAUTO,CDGS,,,
JASH,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
JAYAGROGN,COMDTY,,,
JAYBARMARU,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
JAYNECOIND,INDSTR,,,
JBCHEPHARM,BSE HC,,,
JBMA,CDGS,,,
JCHAC,CDGS,,,
JGCHEM,"CDGS, COMDTY, INDSTR",,,
JINDALPHOT,FIN,,,
JINDALPOLY,INDSTR,,,
JINDALSAW,INDSTR,,,
JINDALSTEL,"COMDTY, METAL",,,
JINDRILL,ENERGY,,,
JINDWORLD,CDGS,,,
JISLJALEQS,INDSTR,,,
JITFINFRA,ENERGY,,,
JKCEMENT,COMDTY,,,
JKIL,INDSTR,,,
JKLAKSHMI,COMDTY,,,
JKPAPER,COMDTY,,,
JKTYRE,CDGS,,,
JLHL,BSE HC,,,
JMFINANCIL,FIN,,,
JNKINDIA,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
JPASSOCIAT,INDSTR,,,
JPOLYINVST,FIN,,,
JPPOWER,UTILS,,,
JSFB,"BANKEX, FIN",,,
JSL,"COMDTY, METAL",,,
JSWENERGY,"POWER, UTILS",,,
JSWHL,FIN,,,
JSWINFRA,ENERGY,,,
JSWSTEEL,"COMDTY, METAL",,,
JTEKTINDIA,CDGS,,,
JTLIND,INDSTR,,,
JUBLFOOD,CDGS,,,
JUBLINDS,COMDTY,,,
JUBLINGREA,COMDTY,,,
JUBLPHARMA,BSE HC,,,
JUNIPER,CDGS,,,
JUSTDIAL,"CDGS, TECK",,,
JWL,INDSTR,,,
JYOTHYLAB,BSEFMC,,,
JYOTICNC,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
JYOTISTRUC,"BSE CG, INDSTR",,,
KABRAEXTRU,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
KAJARIACER,CDGS,,,
KALAMANDIR,"CDGS, BSE CD",,,
KALYANKJIL,CDGS,,,
KAMATHOTEL,CDGS,,,
KAMDHENU,"METAL, COMDTY, INDSTR, CDGS",,,
KANORICHEM,COMDTY,,,
KANSAINER,CDGS,,,
KARURVYSYA,"BANKEX, FIN",,,
KAYA,BSE HC,,,
KAYNES,INDSTR,,,
KCP,"COMDTY, CDGS",,,
KCPSUGIND,"BSEFMC, COMDTY",,,
KDDL,CDGS,,,
KEC,INDSTR,,,
KECL,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
KEI,INDSTR,,,
KELLTONTEC,BSE IT,,,
KERNEX,"BSE CG, INDSTR",,,
KESORAMIND,COMDTY,,,
KFINTECH,FIN,,,
KHADIM,"CDGS, BSE CD",,,
KHAICHEM,COMDTY,,,
KICL,FIN,,,
KILITCH,BSE HC,,,
KIMS,BSE HC,,,
KINGFA,INDSTR,,,
KIOCL,COMDTY,,,
KIRIINDUS,COMDTY,,,
KIRLOSBROS,INDSTR,,,
KIRLOSENG,INDSTR,,,
